time,value
1508802346.0,1000.0
1508888746.0,1071.14842242
1508902748.0,1028.82580915
1508935056.0,1047.81095002
1508935652.0,1063.38289381
1508983039.0,1129.45111587
1509070186.0,1096.10945205
1509157748.0,1085.65505969
1509245254.0,1085.97610413
1509328112.0,1112.46913435
1509423633.0,1182.72233876
1509505853.0,1206.44966687
1509589731.0,1076.87403414
1509673936.0,1015.15328384
1509774372.0,1064.76343867
1509848167.0,1091.48448394
1509850936.0,1092.28911808
1509936071.0,1096.01358004
1510029932.0,1118.48754666
1510109921.0,1087.04712968
1510195834.0,1238.85874277
